# Constructed from biom file
#OTU ID	S20	S5	S22	S23	S7	S12	S29	S11	S28	S13	S6	S10	S27	S26	S4	S21
798929aeda7ba6ce7b8ac144136929cc	94.0	14.0	26.0	116.0	4.0	0.0	27.0	0.0	13.0	0.0	4.0	0.0	44.0	17.0	5.0	103.0
a6b43482823373ca3f5c9b5844a60f13	94.0	5.0	35.0	106.0	0.0	316.0	2303.0	71.0	614.0	118.0	0.0	54.0	1582.0	543.0	6.0	97.0
1c07cd450fd34de71b988a7d87015146	91.0	3.0	28.0	38.0	2.0	0.0	64.0	0.0	43.0	0.0	6.0	0.0	101.0	72.0	2.0	76.0
4e5492ed8d6789cd6a73aff25450093d	87.0	0.0	20.0	68.0	0.0	0.0	28.0	0.0	16.0	0.0	0.0	0.0	26.0	10.0	0.0	68.0
6fc2c74e41998a5ea9f0b2aa9fe248fe	86.0	0.0	4.0	9.0	0.0	0.0	198.0	0.0	20.0	1.0	0.0	0.0	47.0	6.0	0.0	17.0
3e74a56d5384c6bd3a3caeb387a4662b	78.0	37.0	14.0	37.0	3.0	520.0	451.0	23.0	160.0	48.0	9.0	120.0	296.0	119.0	13.0	43.0
03ef056c5ee01618be25e58df12f083f	75.0	46.0	15.0	46.0	14.0	119.0	76.0	21.0	21.0	22.0	17.0	22.0	52.0	16.0	23.0	29.0
c8894be2fd812700f141694c8732ab0e	74.0	65.0	20.0	44.0	20.0	15.0	38.0	5.0	47.0	0.0	25.0	2.0	128.0	16.0	26.0	69.0
0ad83b1f4c0b4232b00d058b08872a95	74.0	0.0	33.0	72.0	0.0	2.0	89.0	0.0	75.0	0.0	0.0	0.0	128.0	33.0	0.0	64.0
358f16aa85d5b9314a7df5a3d736d357	74.0	22.0	11.0	38.0	3.0	1491.0	815.0	256.0	334.0	228.0	9.0	308.0	664.0	74.0	8.0	44.0
a8b7022301fca7302676867b38bd92c2	71.0	551.0	16.0	59.0	123.0	453.0	126.0	175.0	51.0	161.0	220.0	118.0	117.0	29.0	202.0	49.0
4ff496ac319764252ba0d676d22fa14f	64.0	9.0	28.0	89.0	2.0	72.0	11.0	17.0	13.0	7.0	6.0	22.0	28.0	12.0	6.0	68.0
c633029e499b3b838299d2c97ac7037a	64.0	102.0	18.0	31.0	29.0	245.0	46.0	50.0	12.0	54.0	35.0	44.0	20.0	7.0	41.0	34.0
d90ee6d02de262a727d495a4b6b7b893	64.0	0.0	26.0	71.0	0.0	0.0	5.0	0.0	12.0	0.0	0.0	0.0	14.0	8.0	0.0	42.0
e91cb663272e2a36965a6d2dbef6fb60	62.0	223.0	14.0	36.0	64.0	446.0	169.0	96.0	94.0	75.0	61.0	54.0	226.0	75.0	79.0	58.0
b4d7a67fa9f9089a3d19130b81d59259	60.0	0.0	40.0	118.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	78.0
5a65949cf0a0ac11e8374cab3347ea2b	59.0	43.0	14.0	52.0	25.0	274.0	142.0	139.0	73.0	104.0	44.0	81.0	170.0	43.0	31.0	29.0
b4faa6fabb7a2b8e6a9a3eb8625a5071	59.0	36.0	12.0	27.0	16.0	508.0	31.0	99.0	9.0	87.0	16.0	115.0	26.0	11.0	19.0	44.0
4da7da61e5cb66b62c0bcc8d26ad46b4	57.0	15.0	13.0	37.0	3.0	22.0	220.0	12.0	84.0	15.0	2.0	10.0	149.0	56.0	4.0	30.0
c11fa56a87cdea5f4eb93dc94a449b74	57.0	77.0	16.0	43.0	20.0	81.0	33.0	17.0	8.0	26.0	28.0	8.0	18.0	3.0	24.0	57.0
2c08a276125569c31d25af74008efb0e	56.0	0.0	50.0	165.0	0.0	0.0	23.0	0.0	28.0	0.0	0.0	0.0	19.0	3.0	0.0	45.0
450b219f1331e44a23ae578d9dc884c3	56.0	0.0	24.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0
691191ca40f7616dcb04aaf172e729fb	56.0	114.0	17.0	45.0	41.0	238.0	497.0	12.0	413.0	8.0	45.0	22.0	1460.0	417.0	44.0	33.0
19d8cccfd5b61d26f128775dceeeb4d4	55.0	243.0	25.0	54.0	108.0	165.0	36.0	44.0	28.0	79.0	215.0	59.0	50.0	13.0	122.0	38.0
4055a37e19c716e7587f1100ba39911f	53.0	21.0	14.0	37.0	17.0	49.0	73.0	18.0	77.0	25.0	20.0	10.0	141.0	40.0	19.0	13.0
3a7708019673f25b21b6b306781929be	52.0	39.0	48.0	73.0	20.0	15.0	0.0	4.0	0.0	2.0	26.0	0.0	0.0	0.0	20.0	87.0
cce586d44038e99a0310aac9593cac0e	46.0	0.0	12.0	41.0	0.0	0.0	18.0	0.0	15.0	0.0	0.0	0.0	23.0	7.0	0.0	20.0
14ed7c5f86d80bc1cdc17ea589a4a578	44.0	591.0	16.0	114.0	230.0	897.0	212.0	127.0	91.0	88.0	276.0	207.0	115.0	37.0	195.0	46.0
3eda6b3a340edd50121e892bb2e93aa0	44.0	0.0	19.0	53.0	0.0	0.0	12.0	0.0	24.0	0.0	0.0	0.0	79.0	27.0	0.0	29.0
7890b268251122eb0e3184009dda9625	43.0	518.0	20.0	48.0	168.0	235.0	59.0	10.0	27.0	8.0	207.0	37.0	39.0	35.0	164.0	49.0
21c032609541e1deb1d587fe1a21637a	42.0	20.0	15.0	42.0	3.0	86.0	141.0	36.0	88.0	49.0	10.0	12.0	171.0	60.0	3.0	45.0
4aa430cc127362dcf99975960739f0cb	42.0	18.0	9.0	33.0	3.0	121.0	669.0	17.0	282.0	13.0	7.0	30.0	619.0	113.0	6.0	48.0
e55123f0972e1edc22f3536b7fa9d628	41.0	0.0	17.0	33.0	0.0	0.0	35.0	0.0	12.0	0.0	0.0	0.0	16.0	3.0	0.0	26.0
95366282c264669019c8ed5dbf087790	41.0	61.0	8.0	29.0	19.0	130.0	4.0	50.0	2.0	40.0	31.0	31.0	0.0	2.0	14.0	29.0
49bc7e4365ffb87f0d80399b6ccca903	40.0	7.0	17.0	25.0	0.0	3.0	44.0	0.0	26.0	0.0	0.0	0.0	29.0	9.0	4.0	40.0
dd31e2574a1c7f281bbf6cf44ba2b14e	39.0	36.0	11.0	34.0	22.0	32.0	94.0	5.0	31.0	4.0	28.0	3.0	81.0	37.0	14.0	28.0
b0234ec7a9bf265a69e20e70ff38c056	39.0	0.0	2.0	4.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	38.0	5.0	0.0	10.0
d322e328042b1babe367f7834d28a9d1	37.0	0.0	3.0	15.0	0.0	18.0	331.0	5.0	166.0	2.0	0.0	5.0	183.0	21.0	0.0	15.0
e4579605316082121cc80b5a47755158	37.0	0.0	5.0	13.0	0.0	1.0	23.0	0.0	6.0	0.0	0.0	0.0	15.0	3.0	0.0	16.0
abc53b2ceec6d74a1902e0d944aff64f	37.0	0.0	16.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0
4e4fb16764bce81a4da1b59af94d829e	36.0	0.0	8.0	21.0	0.0	0.0	27.0	0.0	19.0	0.0	0.0	0.0	24.0	9.0	0.0	19.0
bd7a287c4651dcf346a0b95d86f478c8	36.0	2.0	12.0	7.0	1.0	0.0	27.0	0.0	32.0	0.0	0.0	0.0	96.0	26.0	0.0	25.0
63ef38be5598b90274d5e86b0d0bdd4e	35.0	0.0	15.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	24.0
925b04acecd7ab5f8401e0082c3f91ee	33.0	14.0	10.0	17.0	8.0	22.0	0.0	5.0	0.0	0.0	5.0	5.0	0.0	2.0	5.0	36.0
36c0bf306f417330103faab98ff8b283	33.0	0.0	4.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0
1777f1e34946a65f63150ddd3c0240a6	31.0	14.0	7.0	34.0	6.0	79.0	2.0	8.0	0.0	14.0	6.0	23.0	0.0	0.0	5.0	34.0
72b2dc8a4616805386b06fbc4c4c7a5b	29.0	0.0	5.0	16.0	0.0	0.0	6.0	0.0	4.0	0.0	0.0	0.0	8.0	0.0	0.0	17.0
56e0f4534180a3a048654b2be13494cb	29.0	0.0	13.0	20.0	0.0	0.0	44.0	0.0	27.0	0.0	0.0	0.0	45.0	22.0	0.0	32.0
1009c6384f00a8c6e27ee22884f3d63e	28.0	9.0	2.0	3.0	12.0	73.0	18.0	10.0	11.0	22.0	30.0	25.0	10.0	7.0	14.0	8.0
7355fe49f70ea49a1ac35d677f75f6d1	27.0	25.0	3.0	18.0	7.0	192.0	55.0	79.0	20.0	88.0	9.0	43.0	24.0	4.0	8.0	19.0
