# Constructed from biom file
#OTU ID	S10	S11	S12	S13	S20	S21	S22	S23	S26	S27	S28	S29	S4	S5	S6	S7
9f4fac339edaa73cdcb86378c7271209	311.0	75.0	1575.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	23.0
c29b1e3b18008c8e1401b8b356e43467	282.0	403.0	836.0	436.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2a8c3d5c991bd8f9fa14095e6c1c6dc5	37.0	53.0	159.0	69.0	207.0	131.0	85.0	192.0	39.0	122.0	65.0	121.0	101.0	282.0	179.0	126.0
e7657bc6cea4ebaae754cc9f561363d6	0.0	0.0	0.0	0.0	670.0	607.0	128.0	277.0	19.0	48.0	25.0	35.0	0.0	0.0	0.0	0.0
adbdab4b1e65c4710195da896639d9aa	246.0	153.0	1026.0	141.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	161.0	0.0	0.0	0.0	0.0
06b210ebb37e569f5cd45c8efac17317	26.0	11.0	106.0	9.0	42.0	49.0	9.0	31.0	96.0	536.0	265.0	564.0	0.0	12.0	0.0	0.0
25c9884cd991eb1695f6a20546b4a231	124.0	0.0	552.0	73.0	75.0	49.0	0.0	0.0	107.0	264.0	140.0	364.0	0.0	0.0	0.0	0.0
aaa39ccd61ec84d756b29d7a651401a8	102.0	111.0	576.0	109.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	168.0	351.0	180.0	89.0
13a7f1d0d3af672725f8079c3cc185a2	0.0	79.0	99.0	75.0	125.0	96.0	51.0	108.0	118.0	315.0	187.0	368.0	0.0	25.0	0.0	0.0
380dd0f6882c618d853f3060f5a0526e	54.0	33.0	592.0	34.0	129.0	47.0	24.0	37.0	9.0	54.0	19.0	370.0	39.0	124.0	44.0	25.0
5a7bc750ea80993e0aa836ca11d00d23	208.0	96.0	853.0	112.0	0.0	0.0	0.0	0.0	0.0	133.0	0.0	144.0	0.0	0.0	0.0	0.0
3c76496de2c06c9a4dcc9c174b773a59	175.0	357.0	590.0	417.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c8d242a3d3eb4623295623fda6f1464d	158.0	339.0	719.0	294.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c571e4614a41a702063ae03bc2fe6ddb	156.0	141.0	489.0	271.0	0.0	0.0	0.0	0.0	88.0	216.0	56.0	87.0	0.0	0.0	0.0	0.0
9271866e77e6400f30e010826a6f0205	52.0	93.0	379.0	54.0	65.0	53.0	10.0	26.0	67.0	185.0	72.0	137.0	57.0	162.0	38.0	44.0
c92b49a94618b40257e46ffba66655dd	44.0	0.0	210.0	0.0	150.0	0.0	52.0	0.0	0.0	250.0	148.0	272.0	0.0	129.0	140.0	92.0
