ASV,Smp1,Smp2,Smp3,Smp4,Smp5,Smp6,Smp7,Smp8,Domain,Phylum,Class,Order,Family,Genus,Species
ASV395,0,0,11,0,66,90,23,101,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
ASV408,134,18,78,17,0,70,0,96,d__Bacteria,,,,,,
ASV41,0,1367,3811,1827,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Sulfurisoma,
ASV410,0,0,0,0,164,54,23,74,d__Bacteria,p__Spirochaetes,c__Spirochaetia,o__Spirochaetales,f__Spirochaetaceae,,
ASV459,24,37,191,18,75,10,0,16,d__Bacteria,,,,,,
ASV460,65,25,71,43,17,16,19,29,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Anaerocella,
ASV48,704,712,1675,739,81,0,0,0,d__Bacteria,,,,,,
ASV480,0,0,17,0,5,0,0,0,d__Bacteria,p__Bacteroidetes,,,,,
ASV503,0,65,166,60,0,0,0,0,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
ASV509,0,0,0,0,414,0,0,0,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
ASV529,0,0,21,0,0,0,0,0,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,,,
ASV55,2189,555,906,792,0,0,0,0,d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Aminivibrio,
ASV56,130,591,1385,685,676,220,115,344,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,,
ASV58,576,371,833,642,151,148,95,174,d__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Cloacibacillus,
ASV6,798,502,1036,465,624,977,333,827,d__Bacteria,p__Bacteroidetes,,,,,
ASV629,0,0,5,0,0,0,0,16,d__Bacteria,,,,,,
ASV674,16,0,0,5,0,0,0,0,d__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,,
ASV7,46509,287,313,228,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
ASV77,27,21,73,29,28,188,78,176,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Simplicispira,
ASV86,2687,580,567,530,0,0,0,0,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Desulfuromonadaceae,g__Desulfuromonas,
ASV91,245,0,131,74,0,81,0,66,d__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,,
ASV92,1547,269,585,304,98,0,0,0,d__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Acholeplasma,
ASV99,261,529,1014,495,73,60,50,159,d__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
