OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV137,0,0,0,26,238,115,52,45,164,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Actinomycetaceae,,
ASV176,244,192,478,14,0,21,14,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
ASV534,0,0,0,0,0,0,0,171,113,k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Leptotrichiaceae,g__uncultured,
ASV374,0,0,138,391,0,0,189,0,0,k__Bacteria,p__Cloacimonetes,,,,,
ASV121,0,0,0,0,0,0,168,73,306,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Aminobacter,
ASV220,0,0,0,0,0,0,285,49,220,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Nitratireductor,
ASV83,292,0,164,21,86,23,57,39,117,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azovibrio,
ASV125,0,0,0,43,354,112,93,0,109,k__Bacteria,p__Cloacimonetes,,,,,
ASV188,0,0,0,0,0,0,444,18,90,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Order III,f__BIgi5,,
ASV149,0,0,0,85,198,132,67,20,89,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,
ASV24,0,0,18,0,0,0,202,64,239,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Caenispirillum,
ASV157,0,0,0,0,0,0,140,73,315,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Meganemaceae,,
ASV136,51,76,155,187,0,0,166,0,72,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
ASV313,0,5,10,31,0,0,432,16,32,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,
ASV200,0,0,11,0,0,0,235,42,289,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,
ASV195,0,0,0,282,230,106,0,0,0,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
ASV364,0,0,0,0,0,0,82,107,189,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__uncultured,
ASV214,22,0,22,112,161,73,160,0,74,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
ASV140,271,43,190,0,0,0,0,50,176,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Nocardiaceae,g__Rhodococcus,
ASV208,0,0,0,101,136,47,168,23,77,k__Bacteria,p__Chlorobi,c__Ignavibacteria,o__Ignavibacteriales,f__IheB3-7,,
ASV186,6,0,17,0,0,0,112,78,267,k__Bacteria,p__Cyanobacteria,c__ML635J-21,,,,
ASV72,0,0,146,0,0,0,354,0,141,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azonexus,
ASV170,0,0,35,0,88,35,65,43,329,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Chitinophagaceae,g__uncultured,
ASV239,0,0,0,56,124,59,186,19,81,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
ASV112,0,0,0,0,92,0,31,48,458,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidia Incertae Sedis,f__Draconibacteriaceae,g__uncultured,
ASV257,39,67,202,94,42,0,195,0,0,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__vadinBC27 wastewater-sludge group,
ASV183,0,0,0,91,0,0,76,59,265,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
ASV39,0,0,33,0,0,0,298,23,166,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Brevundimonas,
ASV162,0,0,10,15,0,0,329,25,91,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,
ASV175,0,0,5,0,31,9,163,43,261,k__Bacteria,p__Actinobacteria,c__Actinobacteria,,,,
ASV259,34,18,25,123,42,10,267,0,31,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XI,g__uncultured,
ASV60,65,27,57,3,0,12,205,22,164,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Hyphomonadaceae,g__Hyphomonas,
ASV110,74,44,117,0,0,0,29,42,304,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Parapusillimonas,
ASV236,29,23,44,71,36,26,137,27,119,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Lineage I (Endomicrobia),,,
ASV185,0,0,0,54,233,88,49,20,82,k__Bacteria,p__Saccharibacteria,,,,,
ASV202,62,89,173,11,11,0,110,22,115,k__Bacteria,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,
ASV227,0,0,0,107,118,34,14,50,154,k__Bacteria,p__Cloacimonetes,c__FGL12-B44,,,,
ASV99,0,0,0,0,0,0,149,44,310,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,
ASV133,0,0,0,0,288,203,0,0,0,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
ASV245,0,0,0,63,135,39,179,12,80,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
ASV150,0,0,0,0,0,0,291,19,168,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,
ASV174,170,190,328,0,0,0,0,0,22,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XII,g__Fusibacter,
ASV233,0,0,0,224,114,31,76,8,79,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__Lactivibrio,
ASV232,0,0,0,104,104,78,113,13,55,k__Bacteria,p__Chlorobi,c__Ignavibacteria,o__Ignavibacteriales,f__SR-FBR-L83,,
