OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu163,780,200,403,48,10,1,41,0,14,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__vadinBC27 wastewater-sludge group,
Otu104,349,150,484,75,176,59,16,10,16,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Acetoanaerobium,
Otu179,514,167,314,252,42,9,9,6,27,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Blvii28 wastewater-sludge group,
Otu180,4,1,5,18,107,41,294,68,392,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
Otu119,0,0,2,0,39,8,76,92,808,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Phyllobacteriaceae,g__Mesorhizobium,
Otu168,266,239,528,11,33,14,80,9,60,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Paludibacter,
Otu114,1,2,4,1,4,0,151,107,625,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,
Otu118,101,0,3,3,227,93,62,70,440,k__Bacteria,p__Tenericutes,c__Mollicutes,o__NB1-n,f__RFN82,,
Otu175,0,21,29,0,6,4,529,42,215,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Cellvibrionales,f__Porticoccaceae,g__C1-B045,
Otu397,0,0,0,20,5,0,748,7,52,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Competibacteraceae,,
Otu129,39,32,99,122,365,113,26,40,149,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfomicrobiaceae,g__Desulfomicrobium,
Otu205,60,27,86,24,25,7,152,84,393,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Proteiniphilum,
Otu72,61,97,202,39,204,83,85,38,126,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__PL-11B10,,
Otu123,210,55,152,17,33,11,193,58,172,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__uncultured,
Otu177,278,193,503,27,25,17,9,15,47,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
Otu159,0,0,1,358,304,181,2,1,18,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
Otu160,171,72,183,18,354,179,0,0,8,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfuromonadales,f__Geobacteraceae,g__Geobacter,
Otu117,41,121,236,88,99,44,123,13,177,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__PL-11B10,,
Otu549,0,0,0,0,1,1,102,179,123,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Denitratisoma,
Otu194,1,0,0,1,1,0,667,4,59,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Order III,f__BIgi5,,
Otu431,0,0,0,0,0,0,708,0,10,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,
