SV,Ex_S1,Ex_S2,Ex_S3,Ex_S4,Ex_S5,Ex_S6,Ex_S7,Ex_S8,Ex_S9,Ex_S10,Ex_S11,Ex_S12,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu97,349,178,121,162,150,162,75,16,648,9,160,10,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Acetoanaerobium,
Otu100,135,12,104,12,81,8,403,83,2018,23,418,30,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Selenomonadales,f__Veillonellaceae,,
Otu120,60,4,83,310,131,270,325,67,644,29,24,3,k__Bacteria,p__Hydrogenedentes,,,,,
Otu69,2,0,0,2115,2,962,0,142,0,188,1,62,k__Bacteria,,,,,,
Otu192,42,758,23,2019,3,10,15,6,65,12,20,2,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__WCHB1-69,,
Otu104,262,40,131,86,124,111,53,49,206,36,279,47,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Leptospiraceae,g__Leptonema,
Otu117,0,0,0,1,0,0,90,66,1515,124,283,19,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,
Otu226,32,29,14,106,12,25,94,56,805,77,70,5,k__Bacteria,p__Firmicutes,c__Clostridia,o__Thermoanaerobacterales,f__Thermoanaerobacteraceae,g__Gelria,
Otu124,80,11,21,23,95,7,189,47,796,36,251,42,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Porphyromonadaceae,g__Macellibacteroides,
Otu108,298,63,244,214,62,183,23,74,43,100,98,40,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Rhodocyclaceae,g__Azovibrio,
Otu119,1,0,0,0,0,0,470,95,1736,127,194,8,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,,
Otu110,44,39,26,118,25,51,97,146,848,97,218,29,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu113,20,267,10,120,15,30,106,188,487,38,156,147,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
Otu153,315,12,209,5,697,18,78,23,23,6,44,1,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
Otu193,70,11,47,279,16,46,79,102,644,37,73,13,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Christensenellaceae,g__Christensenellaceae R-7 group,
Otu122,1867,175,334,388,287,89,105,180,242,174,5,2,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Acholeplasmatales,f__Acholeplasmataceae,g__Acholeplasma,
