OTU,S1,S2,S3,S4,S5,S6,S7,S8,S9,Kingdom,Phylum,Class,Order,Family,Genus,Species
SV81,16,15,34,22,6,3,24,7,14,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,
SV493,4,6,0,44,7,0,62,3,8,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Family XI,g__uncultured,
SV34,0,36,89,0,2,0,0,4,18,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__uncultured,
SV261,0,6,6,0,0,0,30,14,68,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__Candidatus Villogracilis,
SV1160,0,0,0,0,0,0,95,6,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__uncultured,
SV137,0,0,16,0,0,2,14,14,92,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Pannonibacter,
SV465,3,0,1,12,20,6,67,3,9,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,
SV119,16,7,21,0,3,0,7,12,79,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Parapusillimonas,
SV618,0,0,0,0,0,0,58,3,75,k__Bacteria,p__Bacteroidetes,c__Sphingobacteriia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Sphingobacterium,
SV352,0,0,3,0,6,4,32,16,52,k__Bacteria,p__Actinobacteria,c__Actinobacteria,,,,
SV1368,0,0,0,0,0,0,105,0,2,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Limnobacter,
SV142,3,6,16,4,4,3,4,33,9,k__Bacteria,p__Spirochaetae,c__Spirochaetes,o__Spirochaetales,f__Spirochaetaceae,g__Treponema 2,
SV785,0,0,0,0,27,23,0,27,0,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methylocystaceae,g__Methylocystis,
SV581,0,0,0,14,19,9,39,9,26,k__Bacteria,p__Chlorobi,c__Ignavibacteria,o__Ignavibacteriales,f__IheB3-7,,
SV37,30,31,83,3,0,3,0,0,2,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobacteraceae,g__Desulfatiferula,
SV187,23,15,10,36,9,2,19,7,12,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__uncultured,
SV114,13,13,22,40,21,16,8,0,7,k__Bacteria,p__Synergistetes,c__Synergistia,o__Synergistales,f__Synergistaceae,g__uncultured,
SV598,0,0,0,0,0,0,32,13,75,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,
SV44,6,13,69,43,8,2,0,6,0,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminiclostridium 5,
SV1012,0,0,0,36,0,0,77,0,5,k__Bacteria,,,,,,
SV611,0,0,0,0,24,18,38,5,19,k__Bacteria,p__Cloacimonetes,c__LNR A2-18,,,,
SV224,12,8,7,5,5,0,3,17,58,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Oligoflexales,,,
SV621,0,0,0,1,11,6,0,19,71,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__Azospirillum,
SV204,15,1,9,9,9,2,9,20,31,k__Bacteria,p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelothrix,
SV579,0,0,0,0,4,3,21,12,74,k__Bacteria,p__Bacteroidetes,c__Cytophagia,o__Cytophagales,f__Cytophagaceae,g__Persicitalea,
SV714,0,0,0,59,6,4,49,2,0,k__Bacteria,p__Saccharibacteria,,,,,
SV577,0,0,0,0,0,0,0,21,88,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Camelimonas,
SV483,7,0,0,1,27,12,5,10,54,k__Bacteria,p__Cloacimonetes,c__SHA-4,,,,
SV180,9,6,10,20,9,5,33,5,16,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Lineage I (Endomicrobia),,,
